word,path_index,length,path
nationalist,1,11,A12 -> B11 -> C12 -> D13 -> D12 -> E11 -> E12 -> D11 -> C11 -> B12 -> C13
sensational,1,11,B12 -> B13 -> A12 -> A11 -> B11 -> C12 -> C11 -> D12 -> E11 -> E12 -> D11
sensational,2,11,B12 -> B13 -> A12 -> A11 -> B11 -> C12 -> D13 -> D12 -> E11 -> E12 -> D11
appendages,1,10,N2 -> N3 -> N4 -> M5 -> L4 -> K5 -> J4 -> J3 -> J2 -> K1
appendages,2,10,N2 -> N3 -> N4 -> M5 -> L5 -> K5 -> J4 -> J3 -> J2 -> K1
argentieri,1,10,E12 -> E13 -> F12 -> G13 -> H12 -> H11 -> I12 -> H13 -> G12 -> F11
argentieri,2,10,E12 -> E13 -> F12 -> G13 -> H12 -> H11 -> I12 -> H13 -> G12 -> G11
fingertips,1,10,G10 -> F11 -> E11 -> F12 -> G13 -> G12 -> H11 -> I12 -> J13 -> I13
fingertips,2,10,G10 -> F11 -> E11 -> F12 -> G13 -> G12 -> H11 -> I12 -> J13 -> K14
gentrified,1,10,F12 -> G13 -> H12 -> H11 -> G12 -> F11 -> G10 -> H9 -> G8 -> H7
gentrified,2,10,F12 -> G13 -> H12 -> H11 -> G12 -> F11 -> G10 -> H9 -> I8 -> H7
gentrified,3,10,F12 -> G13 -> H12 -> H11 -> G12 -> G11 -> G10 -> H9 -> G8 -> H7
gentrified,4,10,F12 -> G13 -> H12 -> H11 -> G12 -> G11 -> G10 -> H9 -> I8 -> H7
mutilation,1,10,C8 -> B8 -> C9 -> B9 -> B10 -> B11 -> C12 -> C11 -> D12 -> E11
mutilation,2,10,C8 -> B8 -> C9 -> B9 -> B10 -> B11 -> C12 -> D13 -> D12 -> E11
mutilation,3,10,A9 -> B8 -> C9 -> B9 -> B10 -> B11 -> C12 -> C11 -> D12 -> E11
mutilation,4,10,A9 -> B8 -> C9 -> B9 -> B10 -> B11 -> C12 -> D13 -> D12 -> E11
raindancer,1,10,M1 -> N2 -> M3 -> L4 -> K5 -> K6 -> L5 -> L6 -> M5 -> M4
senatorial,1,10,B12 -> B13 -> A12 -> B11 -> C12 -> D12 -> E13 -> D13 -> E12 -> D11
stationary,1,10,A11 -> A10 -> B11 -> C12 -> C11 -> D12 -> E11 -> E12 -> E13 -> F13
stationary,2,10,A11 -> A10 -> B11 -> C12 -> D13 -> D12 -> E11 -> E12 -> E13 -> F13
stegemeier,1,10,N9 -> M9 -> M10 -> L9 -> K8 -> J8 -> I8 -> H9 -> G8 -> F8
stegemeier,2,10,N9 -> M9 -> M10 -> L9 -> K8 -> J8 -> I8 -> H9 -> G9 -> F8
stegemeier,3,10,N9 -> N10 -> M10 -> L9 -> K8 -> J8 -> I8 -> H9 -> G8 -> F8
stegemeier,4,10,N9 -> N10 -> M10 -> L9 -> K8 -> J8 -> I8 -> H9 -> G9 -> F8
undeterred,1,10,C6 -> C5 -> D4 -> C4 -> C3 -> B3 -> C2 -> D3 -> D2 -> C1
undeterred,2,10,C6 -> D5 -> D4 -> C4 -> C3 -> B3 -> C2 -> D3 -> D2 -> C1
abstained,1,9,I6 -> J7 -> K7 -> L7 -> K6 -> J5 -> J6 -> I7 -> H7
angriness,1,9,E12 -> E11 -> F12 -> E13 -> D13 -> C14 -> B13 -> B12 -> A11
appendage,1,9,N2 -> N3 -> N4 -> M5 -> L4 -> K5 -> J4 -> J3 -> I2
appendage,2,9,N2 -> N3 -> N4 -> M5 -> L4 -> K5 -> J4 -> J3 -> J2
appendage,3,9,N2 -> N3 -> N4 -> M5 -> L4 -> K5 -> J4 -> J3 -> I4
appendage,4,9,N2 -> N3 -> N4 -> M5 -> L4 -> K5 -> J4 -> J3 -> K4
appendage,5,9,N2 -> N3 -> N4 -> M5 -> L5 -> K5 -> J4 -> J3 -> I2
appendage,6,9,N2 -> N3 -> N4 -> M5 -> L5 -> K5 -> J4 -> J3 -> J2
appendage,7,9,N2 -> N3 -> N4 -> M5 -> L5 -> K5 -> J4 -> J3 -> I4
appendage,8,9,N2 -> N3 -> N4 -> M5 -> L5 -> K5 -> J4 -> J3 -> K4
cardinali,1,9,F9 -> E8 -> F8 -> E9 -> E10 -> E11 -> E12 -> D11 -> C11
