score,word_count,cell_count,has_verbish,has_nounish,phrase,word1,instance_id1,start1,end1,path1,word2,instance_id2,start2,end2,path2,word3,instance_id3,start3,end3,path3
13,3,9,True,False,is find the,is,0,D1,E2,D1 -> E2,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,5,I1,I2,I1 -> J1 -> I2
13,3,9,True,False,is find the,is,0,D1,E2,D1 -> E2,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2
13,3,7,True,False,is find a,is,0,D1,E2,D1 -> E2,find,1,E1,H1,E1 -> F1 -> G1 -> H1,a,13,H2,H2,H2
9,3,8,True,False,is find at,is,0,D1,E2,D1 -> E2,find,1,E1,H1,E1 -> F1 -> G1 -> H1,at,17,H2,I1,H2 -> I1
13,3,7,True,False,is find a,is,0,D1,E2,D1 -> E2,find,2,E1,G2,E1 -> F1 -> G1 -> G2,a,13,H2,H2,H2
13,3,7,True,False,is find a,is,0,D1,E2,D1 -> E2,find,2,E1,G2,E1 -> F1 -> G1 -> G2,a,39,F3,F3,F3
9,3,8,True,False,is find at,is,0,D1,E2,D1 -> E2,find,2,E1,G2,E1 -> F1 -> G1 -> G2,at,17,H2,I1,H2 -> I1
7,3,5,True,False,is in a,is,0,D1,E2,D1 -> E2,in,3,F1,G1,F1 -> G1,a,13,H2,H2,H2
5,3,6,True,False,is in of,is,0,D1,E2,D1 -> E2,in,3,F1,G1,F1 -> G1,of,11,F2,E1,F2 -> E1
5,3,6,True,False,is in at,is,0,D1,E2,D1 -> E2,in,3,F1,G1,F1 -> G1,at,17,H2,I1,H2 -> I1
5,3,6,True,False,is of in,is,0,D1,E2,D1 -> E2,of,11,F2,E1,F2 -> E1,in,3,F1,G1,F1 -> G1
7,3,5,True,False,is on a,is,0,D1,E2,D1 -> E2,on,12,F2,G1,F2 -> G1,a,13,H2,H2,H2
5,3,6,True,False,is on at,is,0,D1,E2,D1 -> E2,on,12,F2,G1,F2 -> G1,at,17,H2,I1,H2 -> I1
5,3,6,True,False,is a and,is,0,D1,E2,D1 -> E2,a,39,F3,F3,F3,and,57,E4,D4,E4 -> D5 -> D4
5,3,5,True,False,is a of,is,0,D1,E2,D1 -> E2,a,39,F3,F3,F3,of,11,F2,E1,F2 -> E1
5,3,5,True,False,is a on,is,0,D1,E2,D1 -> E2,a,39,F3,F3,F3,on,12,F2,G1,F2 -> G1
5,3,5,True,False,is a an,is,0,D1,E2,D1 -> E2,a,39,F3,F3,F3,an,56,E4,D5,E4 -> D5
5,3,4,True,False,is a a,is,0,D1,E2,D1 -> E2,a,39,F3,F3,F3,a,55,E4,E4,E4
21,3,10,True,False,find the get,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,5,I1,I2,I1 -> J1 -> I2,get,42,J3,K2,J3 -> J2 -> K2
21,3,9,True,False,find the go,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,5,I1,I2,I1 -> J1 -> I2,go,43,J3,K3,J3 -> K3
17,3,8,True,False,find the a,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,5,I1,I2,I1 -> J1 -> I2,a,13,H2,H2,H2
30,3,12,True,True,find the start,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2,start,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1
25,3,10,True,True,find the two,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2,two,21,K2,K3,K2 -> L3 -> K3
25,3,10,True,True,find the one,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2,one,45,K3,K4,K3 -> L4 -> K4
25,3,10,True,True,find the one,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2,one,46,K3,M5,K3 -> L4 -> M5
21,3,9,True,False,find the go,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2,go,43,J3,K3,J3 -> K3
17,3,9,True,False,find the to,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2,to,20,K2,K3,K2 -> K3
17,3,9,True,False,find the on,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2,on,44,K3,L4,K3 -> L4
17,3,8,True,False,find a the,find,1,E1,H1,E1 -> F1 -> G1 -> H1,a,13,H2,H2,H2,the,5,I1,I2,I1 -> J1 -> I2
17,3,8,True,False,find a the,find,1,E1,H1,E1 -> F1 -> G1 -> H1,a,13,H2,H2,H2,the,6,I1,J2,I1 -> J1 -> J2
17,3,8,True,False,find a the,find,2,E1,G2,E1 -> F1 -> G1 -> G2,a,13,H2,H2,H2,the,5,I1,I2,I1 -> J1 -> I2
17,3,8,True,False,find a the,find,2,E1,G2,E1 -> F1 -> G1 -> G2,a,13,H2,H2,H2,the,6,I1,J2,I1 -> J1 -> J2
17,3,8,True,False,find a and,find,2,E1,G2,E1 -> F1 -> G1 -> G2,a,39,F3,F3,F3,and,57,E4,D4,E4 -> D5 -> D4
17,3,7,True,False,find a an,find,2,E1,G2,E1 -> F1 -> G1 -> G2,a,39,F3,F3,F3,an,56,E4,D5,E4 -> D5
17,3,6,True,False,find a a,find,2,E1,G2,E1 -> F1 -> G1 -> G2,a,39,F3,F3,F3,a,55,E4,E4,E4
7,3,6,False,False,in a the,in,3,F1,G1,F1 -> G1,a,13,H2,H2,H2,the,5,I1,I2,I1 -> J1 -> I2
7,3,6,False,False,in a the,in,3,F1,G1,F1 -> G1,a,13,H2,H2,H2,the,6,I1,J2,I1 -> J1 -> J2
5,3,6,True,False,in of is,in,3,F1,G1,F1 -> G1,of,11,F2,E1,F2 -> E1,is,0,D1,E2,D1 -> E2
7,3,5,True,False,is on a,is,4,F1,E2,F1 -> E2,on,12,F2,G1,F2 -> G1,a,13,H2,H2,H2
5,3,6,True,False,is on at,is,4,F1,E2,F1 -> E2,on,12,F2,G1,F2 -> G1,at,17,H2,I1,H2 -> I1
5,3,6,True,False,is a and,is,4,F1,E2,F1 -> E2,a,39,F3,F3,F3,and,57,E4,D4,E4 -> D5 -> D4
5,3,5,True,False,is a of,is,4,F1,E2,F1 -> E2,a,39,F3,F3,F3,of,11,F2,E1,F2 -> E1
5,3,5,True,False,is a on,is,4,F1,E2,F1 -> E2,a,39,F3,F3,F3,on,12,F2,G1,F2 -> G1
5,3,5,True,False,is a an,is,4,F1,E2,F1 -> E2,a,39,F3,F3,F3,an,56,E4,D5,E4 -> D5
5,3,4,True,False,is a a,is,4,F1,E2,F1 -> E2,a,39,F3,F3,F3,a,55,E4,E4,E4
14,3,9,True,True,the get one,the,5,I1,I2,I1 -> J1 -> I2,get,42,J3,K2,J3 -> J2 -> K2,one,45,K3,K4,K3 -> L4 -> K4
14,3,9,True,True,the get one,the,5,I1,I2,I1 -> J1 -> I2,get,42,J3,K2,J3 -> J2 -> K2,one,46,K3,M5,K3 -> L4 -> M5
13,3,8,True,False,the get go,the,5,I1,I2,I1 -> J1 -> I2,get,42,J3,K2,J3 -> J2 -> K2,go,22,L2,K3,L2 -> K3
13,3,8,True,False,the get an,the,5,I1,I2,I1 -> J1 -> I2,get,42,J3,K2,J3 -> J2 -> K2,an,10,L1,M2,L1 -> M2
13,3,7,True,False,the get a,the,5,I1,I2,I1 -> J1 -> I2,get,42,J3,K2,J3 -> J2 -> K2,a,8,L1,L1,L1
9,3,8,True,False,the get on,the,5,I1,I2,I1 -> J1 -> I2,get,42,J3,K2,J3 -> J2 -> K2,on,44,K3,L4,K3 -> L4
14,3,8,True,True,the go end,the,5,I1,I2,I1 -> J1 -> I2,go,43,J3,K3,J3 -> K3,end,59,K4,K5,K4 -> L4 -> K5
14,3,8,True,True,the go end,the,5,I1,I2,I1 -> J1 -> I2,go,43,J3,K3,J3 -> K3,end,60,K4,K5,K4 -> L5 -> K5
13,3,6,True,False,the go a,the,5,I1,I2,I1 -> J1 -> I2,go,43,J3,K3,J3 -> K3,a,58,J4,J4,J4
5,3,8,True,False,the and is,the,5,I1,I2,I1 -> J1 -> I2,and,16,H2,G2,H2 -> G1 -> G2,is,4,F1,E2,F1 -> E2
5,3,8,False,False,the and of,the,5,I1,I2,I1 -> J1 -> I2,and,16,H2,G2,H2 -> G1 -> G2,of,11,F2,E1,F2 -> E1
5,3,7,False,False,the and a,the,5,I1,I2,I1 -> J1 -> I2,and,16,H2,G2,H2 -> G1 -> G2,a,39,F3,F3,F3
5,3,7,True,False,the an is,the,5,I1,I2,I1 -> J1 -> I2,an,14,H2,G1,H2 -> G1,is,4,F1,E2,F1 -> E2
5,3,7,False,False,the an of,the,5,I1,I2,I1 -> J1 -> I2,an,14,H2,G1,H2 -> G1,of,11,F2,E1,F2 -> E1
23,3,12,True,True,the start nine,the,6,I1,J2,I1 -> J1 -> J2,start,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1,nine,23,M2,K4,M2 -> M3 -> L4 -> K4
23,3,12,True,True,the start nine,the,6,I1,J2,I1 -> J1 -> J2,start,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1,nine,24,M2,M5,M2 -> M3 -> L4 -> M5
22,3,10,True,True,the start an,the,6,I1,J2,I1 -> J1 -> J2,start,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1,an,27,N2,M2,N2 -> M2
22,3,9,True,True,the start a,the,6,I1,J2,I1 -> J1 -> J2,start,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1,a,25,N2,N2,N2
18,3,9,False,True,the two end,the,6,I1,J2,I1 -> J1 -> J2,two,21,K2,K3,K2 -> L3 -> K3,end,59,K4,K5,K4 -> L4 -> K5
18,3,9,False,True,the two end,the,6,I1,J2,I1 -> J1 -> J2,two,21,K2,K3,K2 -> L3 -> K3,end,60,K4,K5,K4 -> L5 -> K5
13,3,7,False,True,the two a,the,6,I1,J2,I1 -> J1 -> J2,two,21,K2,K3,K2 -> L3 -> K3,a,58,J4,J4,J4
13,3,8,False,True,the one in,the,6,I1,J2,I1 -> J1 -> J2,one,45,K3,K4,K3 -> L4 -> K4,in,73,J5,J6,J5 -> J6
13,3,7,False,True,the one a,the,6,I1,J2,I1 -> J1 -> J2,one,45,K3,K4,K3 -> L4 -> K4,a,58,J4,J4,J4
14,3,8,True,True,the go end,the,6,I1,J2,I1 -> J1 -> J2,go,43,J3,K3,J3 -> K3,end,59,K4,K5,K4 -> L4 -> K5
14,3,8,True,True,the go end,the,6,I1,J2,I1 -> J1 -> J2,go,43,J3,K3,J3 -> K3,end,60,K4,K5,K4 -> L5 -> K5
