word,length,instance_id,start,end,path
decimals,8,122,H7,A11,H7 -> G8 -> F9 -> E10 -> D10 -> C10 -> B10 -> A11
hundreds,8,77,B6,B1,B6 -> C6 -> C5 -> D4 -> D3 -> D2 -> C1 -> B1
hundreds,8,79,B6,B1,B6 -> C6 -> D5 -> D4 -> D3 -> D2 -> C1 -> B1
integers,8,83,D6,B1,D6 -> C5 -> B5 -> A4 -> B4 -> B3 -> C2 -> B1
integers,8,85,D6,E2,D6 -> C5 -> B5 -> A4 -> B4 -> C4 -> D3 -> E2
integers,8,87,D6,B1,D6 -> C5 -> B5 -> C4 -> B4 -> B3 -> C2 -> B1
nineteen,8,66,C5,A3,C5 -> D6 -> D5 -> C4 -> C3 -> B3 -> A2 -> A3
nineteen,8,67,C5,A3,C5 -> D6 -> D5 -> C4 -> C3 -> B3 -> A4 -> A3
nineteen,8,68,C5,A3,C5 -> D6 -> D5 -> C4 -> B5 -> A4 -> B3 -> A3
nineteen,8,70,D5,A3,D5 -> D6 -> C5 -> C4 -> C3 -> B3 -> A2 -> A3
nineteen,8,71,D5,A3,D5 -> D6 -> C5 -> C4 -> C3 -> B3 -> A4 -> A3
nineteen,8,72,D5,A3,D5 -> D6 -> C5 -> C4 -> B5 -> A4 -> B3 -> A3
nineteen,8,92,E6,A3,E6 -> D6 -> C5 -> C4 -> C3 -> B3 -> A2 -> A3
nineteen,8,93,E6,A3,E6 -> D6 -> C5 -> C4 -> C3 -> B3 -> A4 -> A3
nineteen,8,94,E6,A3,E6 -> D6 -> C5 -> C4 -> B5 -> A4 -> B3 -> A3
nineteen,8,96,E6,A3,E6 -> D6 -> D5 -> C4 -> C3 -> B3 -> A2 -> A3
nineteen,8,97,E6,A3,E6 -> D6 -> D5 -> C4 -> C3 -> B3 -> A4 -> A3
nineteen,8,98,E6,A3,E6 -> D6 -> D5 -> C4 -> B5 -> A4 -> B3 -> A3
nineteen,8,112,C7,A3,C7 -> D6 -> C5 -> C4 -> C3 -> B3 -> A2 -> A3
nineteen,8,113,C7,A3,C7 -> D6 -> C5 -> C4 -> C3 -> B3 -> A4 -> A3
nineteen,8,114,C7,A3,C7 -> D6 -> C5 -> C4 -> B5 -> A4 -> B3 -> A3
nineteen,8,116,C7,A3,C7 -> D6 -> D5 -> C4 -> C3 -> B3 -> A2 -> A3
nineteen,8,117,C7,A3,C7 -> D6 -> D5 -> C4 -> C3 -> B3 -> A4 -> A3
nineteen,8,118,C7,A3,C7 -> D6 -> D5 -> C4 -> B5 -> A4 -> B3 -> A3
decimal,7,121,H7,B10,H7 -> G8 -> F9 -> E10 -> D10 -> C10 -> B10
decimal,7,123,H7,D11,H7 -> G8 -> F9 -> E10 -> D10 -> C10 -> D11
hundred,7,76,B6,C1,B6 -> C6 -> C5 -> D4 -> D3 -> D2 -> C1
hundred,7,78,B6,C1,B6 -> C6 -> D5 -> D4 -> D3 -> D2 -> C1
integer,7,82,D6,C2,D6 -> C5 -> B5 -> A4 -> B4 -> B3 -> C2
integer,7,84,D6,D3,D6 -> C5 -> B5 -> A4 -> B4 -> C4 -> D3
integer,7,86,D6,C2,D6 -> C5 -> B5 -> C4 -> B4 -> B3 -> C2
integer,7,169,J11,M12,J11 -> I11 -> J10 -> K10 -> L10 -> M11 -> M12
integer,7,182,I12,M12,I12 -> I11 -> J10 -> K10 -> L10 -> M11 -> M12
integer,7,186,J12,M12,J12 -> I11 -> J10 -> K10 -> L10 -> M11 -> M12
ninety,6,164,I11,F13,I11 -> I12 -> H12 -> G13 -> F14 -> F13
ninety,6,165,I11,G14,I11 -> I12 -> H12 -> G13 -> F14 -> G14
start,5,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1
three,5,28,C3,B3,C3 -> B2 -> A1 -> A2 -> B3
three,5,31,C3,A2,C3 -> B2 -> C2 -> B3 -> A2
three,5,32,C3,A4,C3 -> B2 -> C2 -> B3 -> A4
three,5,33,C3,C4,C3 -> B2 -> C2 -> B3 -> C4
find,4,1,E1,H1,E1 -> F1 -> G1 -> H1
find,4,2,E1,G2,E1 -> F1 -> G1 -> G2
find,4,119,E7,D4,E7 -> D6 -> C5 -> D4
find,4,120,E7,D4,E7 -> D6 -> D5 -> D4
nine,4,23,M2,K4,M2 -> M3 -> L4 -> K4
nine,4,24,M2,M5,M2 -> M3 -> L4 -> M5
